,sum,mean,var,std,median,q1,q3,n,firstRank,lastRank,minStudentRank,maxStudentRank,requested,track,optionalCorrectedRankSum,lastMandatoryOptionalRank,optionalCorrectedQ1,optionalCorrectedMedian,optionalCorrectedQ3,optionalCorrectedMean,optionalCorrectedVar,optionalCorrectedStd,rankedVSrequested,maxRankDistance,minRankDistance,correctedMaxRankDistance,IQR,optionalCorrectedIQR
32,37.5,4.6875,6.18359375,2.4866832830097203,3.75,2.5,6.25,8,2.5,9.5,2.5,17.0,4,AI_track,28.0,7.0,2.5,2.5,5.5,4.0,3.2857142857142847,1.8126539343499313,0,7.5,0.0,10.0,3.75,3.0
33,43.0,5.375,9.484375,3.07967124868873,5.0,2.0,9.0,8,2.0,9.0,2.0,18.0,8,CS_track,34.0,9.0,2.0,4.0,7.5,4.857142857142857,8.69387755102041,2.9485382057928993,0,9.0,0.0,9.0,7.0,5.5
34,39.5,4.9375,9.52734375,3.0866395562164364,4.5,2.625,6.5,8,1.5,11.5,1.5,17.5,8,CS_track,28.0,6.5,2.25,4.0,5.75,4.0,3.8571428571428577,1.9639610121239315,0,6.0,0.0,11.0,3.875,3.5
35,36.0,4.5,4.5625,2.1360009363293826,4.0,2.5,5.875,8,2.5,8.0,2.5,18.0,4,AI_track,28.0,7.0,2.5,2.5,5.5,4.0,3.2142857142857153,1.7928429140015907,0,10.0,0.0,11.0,3.375,3.0
36,45.0,5.0,6.055555555555555,2.4608038433722332,5.0,2.5,6.5,9,2.5,9.0,2.5,18.0,5,AI_track,28.0,6.5,2.5,2.5,5.75,4.0,3.2142857142857153,1.7928429140015907,0,9.0,0.0,11.5,4.0,3.25
37,32.0,4.571428571428571,6.10204081632653,2.470230923684369,4.5,2.0,6.5,7,2.0,8.5,2.0,18.0,7,CS_track,32.0,8.5,2.0,4.5,6.5,4.571428571428571,6.102040816326532,2.4702309236843694,0,9.5,0.0,9.5,4.5,4.5
38,47.5,5.277777777777778,8.117283950617285,2.8490847566573523,5.5,2.5,8.0,9,2.5,10.5,2.5,18.0,5,AI_track,29.0,8.0,2.5,2.5,5.5,4.142857142857143,4.193877551020407,2.047895883833064,0,7.5,0.0,10.0,5.5,3.0
39,31.5,4.5,7.071428571428571,2.659215781283755,3.5,2.5,6.25,7,1.5,9.0,1.5,18.0,7,CS_track,31.5,9.0,2.5,3.5,6.25,4.5,7.071428571428573,2.659215781283755,0,9.0,0.0,9.0,3.75,3.75
40,29.5,4.214285714285714,5.20408163265306,2.281245631810187,4.0,2.75,5.0,7,1.5,8.5,1.5,18.0,7,CS_track,29.5,8.5,2.75,4.0,5.0,4.214285714285714,5.204081632653061,2.2812456318101875,0,9.5,0.0,9.5,2.25,2.25
41,36.0,4.5,4.5625,2.1360009363293826,3.75,2.5,6.5,8,2.5,8.0,2.5,18.0,4,AI_track,28.0,6.5,2.5,2.5,5.75,4.0,3.2142857142857153,1.7928429140015907,0,10.0,0.0,11.5,4.0,3.25
42,48.5,6.0625,13.90234375,3.7285846845686637,5.5,2.625,10.5,8,1.5,10.5,1.5,17.5,8,CS_track,38.0,10.5,2.25,5.0,8.25,5.428571428571429,12.673469387755102,3.5599816555363177,0,7.0,0.0,7.0,7.875,6.0
43,36.5,4.5625,5.58984375,2.3642850399222173,4.5,2.75,6.5,8,1.0,8.5,1.0,17.0,8,CS_track,28.0,6.5,2.5,4.5,5.5,4.0,3.8571428571428577,1.9639610121239315,0,8.5,0.0,10.5,3.75,3.0
